2026-03-19 23:53:23,436 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(4, 2) episode=100 avg_reward=17.08 successes_last_100=91 epsilon=0.6058 avg_loss=n/a
2026-03-19 23:53:23,546 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(4, 2) episode=200 avg_reward=84.31 successes_last_100=100 epsilon=0.3670 avg_loss=n/a
2026-03-19 23:53:23,614 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(4, 2) episode=300 avg_reward=91.53 successes_last_100=100 epsilon=0.2223 avg_loss=n/a
2026-03-19 23:53:23,677 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(4, 2) episode=400 avg_reward=93.54 successes_last_100=100 epsilon=0.1347 avg_loss=n/a
2026-03-19 23:53:23,731 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(4, 2) episode=500 avg_reward=94.55 successes_last_100=100 epsilon=0.0816 avg_loss=n/a
2026-03-19 23:53:23,731 | INFO | car_parking_agent | Training stopped early | agent=QTableAgent goal=(4, 2) episode=503 recent_successes=50
2026-03-19 23:53:23,731 | INFO | car_parking_agent | Training finished | agent=QTableAgent goal=(4, 2) episodes_run=503 successes=494 final_epsilon=0.0804
2026-03-19 23:53:23,731 | INFO | car_parking_agent | Testing started | agent=QTableAgent goal=(4, 2) max_steps=50 display=False
2026-03-19 23:53:23,731 | INFO | car_parking_agent | Testing finished | agent=QTableAgent goal=(4, 2) success=True steps=5 final_reward=100 path=[(6, 5), (6, 4), (6, 3), (5, 3), (5, 2), (4, 2)]
2026-03-19 23:53:23,731 | INFO | car_parking_agent | Training started | agent=DoubleQTableAgent goal=(4, 2) episodes=2000 max_steps=100 cutoff=50
2026-03-19 23:53:23,763 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(4, 2) episode=100 avg_reward=25.34 successes_last_100=93 epsilon=0.6058 avg_loss=n/a
2026-03-19 23:53:23,774 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(4, 2) episode=200 avg_reward=85.76 successes_last_100=100 epsilon=0.3670 avg_loss=n/a
2026-03-19 23:53:23,781 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(4, 2) episode=300 avg_reward=92.04 successes_last_100=100 epsilon=0.2223 avg_loss=n/a
2026-03-19 23:53:23,788 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(4, 2) episode=400 avg_reward=93.90 successes_last_100=100 epsilon=0.1347 avg_loss=n/a
2026-03-19 23:53:23,794 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(4, 2) episode=500 avg_reward=94.70 successes_last_100=100 epsilon=0.0816 avg_loss=n/a
2026-03-19 23:53:23,795 | INFO | car_parking_agent | Training stopped early | agent=DoubleQTableAgent goal=(4, 2) episode=506 recent_successes=50
2026-03-19 23:53:23,795 | INFO | car_parking_agent | Training finished | agent=DoubleQTableAgent goal=(4, 2) episodes_run=506 successes=499 final_epsilon=0.0792
2026-03-19 23:53:23,795 | INFO | car_parking_agent | Testing started | agent=DoubleQTableAgent goal=(4, 2) max_steps=50 display=False
2026-03-19 23:53:23,795 | INFO | car_parking_agent | Testing finished | agent=DoubleQTableAgent goal=(4, 2) success=True steps=5 final_reward=100 path=[(6, 5), (6, 4), (6, 3), (5, 3), (5, 2), (4, 2)]
2026-03-19 23:53:23,796 | INFO | car_parking_agent | Training started | agent=DeepQNetwork goal=(4, 2) episodes=2000 max_steps=100 cutoff=50
2026-03-19 23:53:29,901 | INFO | car_parking_agent | Training progress | agent=DeepQNetwork goal=(4, 2) episode=100 avg_reward=-9.84 successes_last_100=87 epsilon=0.6058 avg_loss=38.0625
2026-03-19 23:53:31,763 | INFO | car_parking_agent | Training progress | agent=DeepQNetwork goal=(4, 2) episode=200 avg_reward=86.63 successes_last_100=100 epsilon=0.3670 avg_loss=11.3096
2026-03-19 23:53:33,333 | INFO | car_parking_agent | Training progress | agent=DeepQNetwork goal=(4, 2) episode=300 avg_reward=91.10 successes_last_100=100 epsilon=0.2223 avg_loss=7.8179
2026-03-19 23:53:34,478 | INFO | car_parking_agent | Training progress | agent=DeepQNetwork goal=(4, 2) episode=400 avg_reward=93.55 successes_last_100=100 epsilon=0.1347 avg_loss=5.3708
2026-03-19 23:53:35,512 | INFO | car_parking_agent | Training progress | agent=DeepQNetwork goal=(4, 2) episode=500 avg_reward=94.97 successes_last_100=100 epsilon=0.0816 avg_loss=4.2190
2026-03-19 23:53:36,391 | INFO | car_parking_agent | Training stopped early | agent=DeepQNetwork goal=(4, 2) episode=585 recent_successes=50
2026-03-19 23:53:36,391 | INFO | car_parking_agent | Training finished | agent=DeepQNetwork goal=(4, 2) episodes_run=585 successes=572 final_epsilon=0.0533
2026-03-19 23:53:36,391 | INFO | car_parking_agent | Testing started | agent=DeepQNetwork goal=(4, 2) max_steps=50 display=False
2026-03-19 23:53:36,392 | INFO | car_parking_agent | Testing finished | agent=DeepQNetwork goal=(4, 2) success=True steps=5 final_reward=100 path=[(6, 5), (6, 4), (6, 3), (6, 2), (5, 2), (4, 2)]
2026-03-19 23:53:36,392 | INFO | car_parking_agent | Goal processing started | goal_index=4 target=(2, 3)
2026-03-19 23:53:36,392 | INFO | car_parking_agent | Training started | agent=QTableAgent goal=(2, 3) episodes=2000 max_steps=100 cutoff=50
2026-03-19 23:53:36,847 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(2, 3) episode=100 avg_reward=-48.53 successes_last_100=80 epsilon=0.6058 avg_loss=n/a
2026-03-19 23:53:37,007 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(2, 3) episode=200 avg_reward=69.37 successes_last_100=100 epsilon=0.3670 avg_loss=n/a
2026-03-19 23:53:37,124 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(2, 3) episode=300 avg_reward=83.18 successes_last_100=100 epsilon=0.2223 avg_loss=n/a
2026-03-19 23:53:37,226 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(2, 3) episode=400 avg_reward=87.23 successes_last_100=100 epsilon=0.1347 avg_loss=n/a
2026-03-19 23:53:37,319 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(2, 3) episode=500 avg_reward=90.50 successes_last_100=100 epsilon=0.0816 avg_loss=n/a
2026-03-19 23:53:37,410 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(2, 3) episode=600 avg_reward=91.45 successes_last_100=100 epsilon=0.0500 avg_loss=n/a
2026-03-19 23:53:37,501 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(2, 3) episode=700 avg_reward=91.65 successes_last_100=100 epsilon=0.0500 avg_loss=n/a
2026-03-19 23:53:37,570 | INFO | car_parking_agent | Training stopped early | agent=QTableAgent goal=(2, 3) episode=775 recent_successes=50
2026-03-19 23:53:37,570 | INFO | car_parking_agent | Training finished | agent=QTableAgent goal=(2, 3) episodes_run=775 successes=755 final_epsilon=0.0500
2026-03-19 23:53:37,570 | INFO | car_parking_agent | Testing started | agent=QTableAgent goal=(2, 3) max_steps=50 display=False
2026-03-19 23:53:37,570 | INFO | car_parking_agent | Testing finished | agent=QTableAgent goal=(2, 3) success=True steps=8 final_reward=100 path=[(6, 5), (5, 5), (4, 5), (3, 5), (2, 5), (1, 5), (1, 4), (1, 3), (2, 3)]
2026-03-19 23:53:37,570 | INFO | car_parking_agent | Training started | agent=DoubleQTableAgent goal=(2, 3) episodes=2000 max_steps=100 cutoff=50
2026-03-19 23:53:37,623 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(2, 3) episode=100 avg_reward=-68.36 successes_last_100=75 epsilon=0.6058 avg_loss=n/a
2026-03-19 23:53:37,641 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(2, 3) episode=200 avg_reward=68.84 successes_last_100=100 epsilon=0.3670 avg_loss=n/a
2026-03-19 23:53:37,654 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(2, 3) episode=300 avg_reward=82.17 successes_last_100=100 epsilon=0.2223 avg_loss=n/a
2026-03-19 23:53:37,666 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(2, 3) episode=400 avg_reward=87.46 successes_last_100=100 epsilon=0.1347 avg_loss=n/a
2026-03-19 23:53:37,677 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(2, 3) episode=500 avg_reward=89.93 successes_last_100=100 epsilon=0.0816 avg_loss=n/a
2026-03-19 23:53:37,685 | INFO | car_parking_agent | Training stopped early | agent=DoubleQTableAgent goal=(2, 3) episode=583 recent_successes=50
2026-03-19 23:53:37,685 | INFO | car_parking_agent | Training finished | agent=DoubleQTableAgent goal=(2, 3) episodes_run=583 successes=558 final_epsilon=0.0538
